127.0.0.1 - - [31/Jan/2018:17:00:21 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:00:25 +0530] "GET /jstldemo/demo.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:01:05 +0530] "GET /jstldemo/demo.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:01:17 +0530] "GET /jstldemo/demo.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:03:57 +0530] "GET /jstldemo/demo.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:07:31 +0530] "GET /jstldemo/demo.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:07:31 +0530] "GET /jstldemo/demopage.jsp HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:11:55 +0530] "GET /jstldemo/demo.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:11:56 +0530] "GET /jstldemo/demopage.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:12:09 +0530] "GET /jstldemo/demo.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:12:09 +0530] "GET /jstldemo/demopage.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:13:37 +0530] "GET /jstldemo/demo.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:13:37 +0530] "GET /jstldemo/demopage.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:16:44 +0530] "GET /jstldemo/login.jsp HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:16:56 +0530] "GET /jstldemo/demopage.jsp?login_un=sah HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:17:12 +0530] "GET /jstldemo/login.jsp HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:17:15 +0530] "GET /jstldemo/demopage.jsp?login_un=abcd HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:18:09 +0530] "GET /jstldemo/login.jsp HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:18:13 +0530] "GET /jstldemo/demopage.jsp?login_un=abcd HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:22:38 +0530] "GET /jstldemo/demopage.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:23:25 +0530] "GET /jstldemo/login.jsp HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:23:28 +0530] "GET /jstldemo/demopage.jsp?login_un=sahil HTTP/1.1" 200 288
