127.0.0.1 - - [01/Feb/2018:09:39:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Feb/2018:09:39:49 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [01/Feb/2018:09:56:26 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [01/Feb/2018:09:56:44 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [01/Feb/2018:09:59:01 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:05:55 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:08:02 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:08:11 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 500 2598
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:08:39 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:16:31 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 500 2681
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:16:42 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:16:54 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:24:22 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:24:43 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:26:52 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:26:54 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:26:55 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:26:56 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:26:56 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:26:57 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:27:03 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:32:10 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:33:04 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [01/Feb/2018:10:34:44 +0530] "GET /jsp_Clecture1/first.jsp HTTP/1.1" 200 642
