127.0.0.1 - - [01/Jun/2018:11:16:35 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:16:41 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:17:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:17:59 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:18:19 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:20:38 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:21:12 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:21:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:23:06 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:29:25 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:32:20 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:35:35 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:36:09 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:37:06 +0530] "GET /ajaxdropdown/select.jsp HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:37:09 +0530] "GET /ajaxdropdown/two.jsp?cn=USA HTTP/1.1" 200 83
